Category,ShowMovie,Nominee,Movie,Winner
Actor in a Leading Role,1,Adrien Brody,The Brutalist,0
Actor in a Leading Role,1,Timothée Chalamet,A Complete Unknown,0
Actor in a Leading Role,1,Colman Domingo,Sing Sing,0
Actor in a Leading Role,1,Ralph Fiennes,Conclave,0
Actor in a Leading Role,1,Sebastian Stan,The Apprentice,0
Actor in a Supporting Role,1,Yura Borisov,Anora,0
Actor in a Supporting Role,1,Kieran Culkin,A Real Pain,0
Actor in a Supporting Role,1,Edward Norton,A Complete Unknown,0
Actor in a Supporting Role,1,Guy Pearce,The Brutalist,0
Actor in a Supporting Role,1,Jeremy Strong,The Apprentice,0
Actress in a Leading Role,1,Cynthia Erivo,Wicked,0
Actress in a Leading Role,1,Mikey Madison,Anora,0
Actress in a Leading Role,1,Demi Moore,The Substance,0
Actress in a Leading Role,1,Fernanda Torres,I'm Still Here,0
Actress in a Leading Role,1,Karla Sofía Gascón,Emilia Pérez,0
Actress in a Supporting Role,1,Monica Barbaro,A Complete Unknown,0
Actress in a Supporting Role,1,Ariana Grande,Wicked,0
Actress in a Supporting Role,1,Felicity Jones,The Brutalist,0
Actress in a Supporting Role,1,Isabella Rossellini,Conclave,0
Actress in a Supporting Role,1,Zoe Saldaña,Emilia Pérez,0
Animated Feature Film,0,Flow,None,0
Animated Feature Film,0,Inside Out 2,None,0
Animated Feature Film,0,Memoir of a Snail,None,0
Animated Feature Film,0,Wallace & Gromit: Vengeance Most Fowl,,0
Animated Feature Film,0,The Wild Robot,None,0
Animated Short Film,0,Beautiful Men,,0
Animated Short Film,0,In the Shadow of the Cypress,,0
Animated Short Film,0,Magic Candies,,0
Animated Short Film,0,Wander to Wonder,,0
Animated Short Film,0,Yuck!,,0
Best Picture,0,Anora,,0
Best Picture,0,The Brutalist,,0
Best Picture,0,A Complete Unknown,,0
Best Picture,0,Conclave,,0
Best Picture,0,Dune: Part Two,,0
Best Picture,0,Emilia Pérez,,0
Best Picture,0,I'm Still Here,,0
Best Picture,0,Nickel Boys,,0
Best Picture,0,The Substance,,0
Best Picture,0,Wicked,,0
Cinematography,1,Lol Crawley,The Brutalist,0
Cinematography,1,Greig Fraser,Dune: Part Two,0
Cinematography,1,Paul Guilhaume,Emilia Pérez,0
Cinematography,1,Ed Lachman,Maria,0
Cinematography,1,Jarin Blaschke,Nosferatu,0
Costume Design,1,Arianne Phillips,A Complete Unknown,0
Costume Design,1,Lisy Christl,Conclave,0
Costume Design,1,Janty Yates and Dave Crossman,Gladiator II,0
Costume Design,1,Linda Muir,Nosferatu,0
Costume Design,1,Paul Tazewell,Wicked,0
Directing,1,Sean Baker,Anora,0
Directing,1,Brady Corbet,The Brutalist,0
Directing,1,James Mangold,A Complete Unknown,0
Directing,1,Jacques Audiard,Emilia Pérez,0
Directing,1,Coralie Fargeat,The Substance,0
Documentary Feature Film,0,Black Box Diaries,,0
Documentary Feature Film,0,No Other Land,,0
Documentary Feature Film,0,Porcelain War,,0
Documentary Feature Film,0,Soundtrack to a Coup d'État,,0
Documentary Feature Film,0,Sugarcane,,0
Documentary Short Film,0,Death by Numbers,,0
Documentary Short Film,0,I Am Ready,Warden,0
Documentary Short Film,0,Incident,,0
Documentary Short Film,0,Instruments of a Beating Heart,,0
Documentary Short Film,0,The Only Girl in the Orchestra,,0
Film Editing,1,Sean Baker,Anora,0
Film Editing,1,Dávid Jancsó,The Brutalist,0
Film Editing,1,Nick Emerson,Conclave,0
Film Editing,1,Juliette Welfling,Emilia Pérez,0
Film Editing,1,Myron Kerstein,Wicked,0
International Feature Film,1,I'm Still Here,Brazil,0
International Feature Film,1,The Girl with the Needle,Denmark,0
International Feature Film,1,Emilia Pérez,France,0
International Feature Film,1,The Seed of the Sacred Fig,Germany,0
International Feature Film,1,Flow,Latvia,0
Live Action Short Film,0,A LIEN,,0
Live Action Short Film,0,ANUJA,,0
Live Action Short Film,0,I'm Not a Robot,,0
Live Action Short Film,0,The Last Ranger,,0
Live Action Short Film,0,The Man Who Could Not Remain Silent,,0
Makeup and Hairstyling,1,Judy Chin and Jerry DeCarlo and Marissa Voss,A Complete Unknown,0
Makeup and Hairstyling,1,Alessandro Bertolazzi and Mark Coulier and Jan Sewell,Conclave,0
Makeup and Hairstyling,1,Donald Mowat and Love Larson,Dune: Part Two,0
